claim_id,claim_text,checkability_score,verifiability_score,harm_score,overall_score,checkability_decision,verifiability_decision,harm_decision,overall_decision
cdedb522-7e50-44ed-b390-c80b687d9068,The tweets are discussing criticism and negative opinions about former US President Donald Trump.,0.12376847,0.180998,0.120138526,0.12047169,False,False,False,False
7dda087b-3c14-41fe-b838-ea31edf292e2,Users are boycotting NBC for giving Trump airtime after he refused to debate Joe Biden.,0.710775,0.9791424,0.36341846,0.9825424,True,True,False,True
fe849c3e-7bee-4765-be24-f092888823fe,The tweets discuss allegations of Joe Biden's corruption and potential ties to Russian disinformation.,0.52338684,0.65361637,0.23575349,0.77034134,True,True,False,True
75a6001a-cf39-4eff-9ec8-6d2ae1bb91c0,The tweets criticize Trump's handling of the COVID-19 pandemic and accuse him of being responsible for deaths and infections.,0.63431346,0.8126406,0.28084084,0.8857401,True,True,False,True
34022971-4d5e-427b-aed3-e96bc9489568,"Scott Morrison is portrayed as a divisive leader unlike the statesman Dan Andrews, who is praised for his collaborative approach.",0.38769916,0.5493033,0.21862847,0.5354345,False,True,False,True
a4e23d54-bd0d-4547-b122-32f2586e01bd,People are encouraging others to vote in the 2020 US presidential election and various state elections.,0.04449981,0.06931148,0.072560824,0.022015195,False,False,False,False
05b7b77c-76bc-4fcb-bbe7-8161317ee05c,The tweets are discussing allegations of Twitter censorship and bias against Donald Trump in favor of Joe Biden.,0.63674223,0.8382379,0.25794154,0.89590186,True,True,False,True
368d221e-5025-4bbd-9e6a-2004ac1773ae,Iowans are rejecting Donald Trump and will vote for Joe Biden in the 2020 presidential election.,0.6236925,0.81438226,0.24125671,0.69976956,True,True,False,True
069e6761-eb8d-4b55-9199-a12ddb758527,The tweets discuss allegations of corruption and impropriety involving Joe and Hunter Biden's dealings with Burisma in Ukraine.,0.6768536,0.8995411,0.31120062,0.9335332,True,True,False,True
825dbabd-c6de-4383-a765-bce1314a0a79,"NBC is accused of giving favorable treatment to Donald Trump, undermining journalistic integrity.",0.71054316,0.95753205,0.32611403,0.9761973,True,True,False,True
d08b27cf-97b9-4eaa-aee3-559fbf56144f,The tweets urge voters to endure only 19 more days and keep voting for Joe Biden.,0.120204106,0.21167266,0.13649768,0.14916605,False,False,False,False
6e5d5c45-4e4f-44d7-b203-5b0818594f97,The tweets urge voters to support Joe Biden in an upcoming election.,0.2276902,0.3562884,0.17310885,0.31381926,False,False,False,False
2b63c315-30af-4c5c-9e06-623fa5e17428,NBC News is criticized for scheduling a Trump town hall opposite a Biden town hall on ABC.,0.69774413,0.9479373,0.33346844,0.95868754,True,True,False,True
e23164ce-35d8-4179-917a-897a89b97eb7,"The core claim is about the upcoming US presidential election, specifically the comparison between Joe Biden and Donald Trump.",0.04551145,0.19715989,0.105330706,0.02699514,False,False,False,False
995d318a-5e2b-4228-a2a7-276bfd1ae25d,The tweets discuss the upcoming town hall event featuring Joe Biden and comparing its viewership to Donald Trump's.,0.123955905,0.31211737,0.14826164,0.12183549,False,False,False,False
036d2f51-4192-45d7-8db6-9a93216a7097,Trump refuses to denounce QAnon because they support his clearly announced fascist aspirations.,0.7120598,0.94168806,0.31683055,0.97458243,True,True,False,True
b46f3de8-62d5-43d0-a676-b81d8a1cd0ac,"The 2020 US presidential election, specifically the comparison between Trump and Biden's town hall events.",0.055793192,0.18753338,0.09980085,0.010186414,False,False,False,False
bbdb331b-4f57-4348-be5c-1b7ed1b7804c,The tweets are advocating for the re-election of Joe Biden as the President of the United States.,0.4064331,0.53666985,0.2209159,0.5785148,False,True,False,True
edae50d1-2a39-4cc7-a78b-8c107ca395d0,The tweets are promoting and expressing support for Joe Biden's presidential campaign.,0.4636355,0.57352585,0.20726639,0.74884975,False,True,False,True
752d2ba6-ff94-4ce4-838b-69ede8f51723,Donald Trump's stance on mask-wearing during the COVID-19 pandemic is being criticized and scrutinized by the public.,0.6362656,0.89262116,0.26389349,0.82559425,True,True,False,True
2338765e-1e58-451f-99dd-475a1adb854e,Savannah Guthrie's performance during a Trump town hall is criticized for biased questioning and interrupting the president.,0.64298326,0.88995713,0.26758862,0.8324863,True,True,False,True
492d0227-65e6-4f39-b2f0-0c87ca18b5d9,"Twitter has censored more speech exposing a supposed ""Biden criminal cabal"" than the Iron Curtain in 50 years.",0.70462865,0.9912683,0.4141698,0.9948548,True,True,False,True
de2eab1a-8653-4e95-96df-fc709bb3b37c,Joe Biden has detailed plans to address economic problems and make structural changes to benefit the population.,0.6083601,0.8051246,0.23558527,0.8181467,True,True,False,True
2216ce35-849f-4e01-abb6-13bf4557bf01,The main claim is that Donald Trump lacks a healthcare plan despite his claims to the contrary.,0.7075002,0.954158,0.3329312,0.9730165,True,True,False,True
ad802a37-eba5-43f1-8312-24a76c4ded71,"Joe Biden performs well in a town hall event, showcasing his intelligence and sincerity.",0.052917045,0.22399135,0.10743017,0.02780681,False,False,False,False
1d099d8b-135f-47f0-9e63-f223b1dc38ea,The tweets compare Joe Biden favorably to Donald Trump in terms of leadership and presidential qualities.,0.18208437,0.37447765,0.15718977,0.19418524,False,False,False,False
fcb50013-6fee-4c62-93af-e5ef82f73c25,The tweets compare and contrast Joe Biden's performance in town halls with that of Donald Trump.,0.10593343,0.37561062,0.13923536,0.086810775,False,False,False,False
da2bf238-355c-4614-9611-34d53df32323,Joe Biden's performance and policies are being scrutinized by critics and supporters for their impact on black voters.,0.45283368,0.614561,0.24223274,0.56258386,False,True,False,True
df4ef33d-e850-45de-803f-9fd9e9bc5634,"Joe Biden's 1994 crime bill and its implications, including its impact on communities of color, are being discussed and defended.",0.6720134,0.930556,0.2868127,0.9026011,True,True,False,True
d7f8b6de-3a4c-4194-97a9-488a1830cea0,The main claim is that NBC News' decision to host a Trump town hall at the same time as Biden's is biased.,0.46347755,0.63492167,0.2593061,0.7501232,False,True,False,True
06e7d510-fd2b-4064-9aa5-d61916289a4f,Joe Biden performed well in the #BidenTownHall and is ready to lead the country.,0.016658304,0.022447942,0.081562325,0.010979691,False,False,False,False
0fe6e222-a6c9-48a1-814e-ad0c5ff55a06,People voting for Trump are characterized as suckers and losers.,0.18145773,0.2329492,0.17026483,0.2570648,False,False,False,False
96c3b05c-1b91-468f-9360-14e7e711e3c8,The 2020 US presidential election outcome between Joe Biden and Donald Trump is uncertain and highly debated.,0.063978665,0.21422745,0.1215268,0.016012896,False,False,False,False
c5290077-411c-49b4-8d8d-0420168967ef,"Donald Trump canceled a scheduled debate, allegedly due to fear of participating.",0.7026022,0.9612649,0.33447117,0.96397835,True,True,False,True
d73381c8-ae1d-4c5f-99e6-aed666a4776e,The tweets warn that Trump is a danger to democracy and urge voters to support Biden.,0.4945463,0.6498735,0.24043192,0.720905,False,True,False,True
d5219ea9-fb1e-48d0-b64d-e1d0ee14e386,Trump has threatened to leave the country if he loses the upcoming election.,0.70544255,0.9592248,0.34995994,0.96951586,True,True,False,True
0fb216bd-4809-4b77-97fb-d93f95d69419,"Joe Biden's tax plan targets those making over $400,000 a year, not 82% of Americans.",0.7080764,0.9887129,0.4289199,0.9981743,True,True,False,True
689d4ad2-7447-4474-9416-dbb4dd89e5d0,The tweets claim that President Trump has ties to Russia and has been compromised by Russian influence.,0.7092723,0.97543895,0.34605145,0.97544223,True,True,False,True
74c89a45-2e31-4503-a327-40811a1ed9a9,These tweets claim that Donald Trump is a puppet of Vladimir Putin and should be voted out of office.,0.6291971,0.85213745,0.27565998,0.86815363,True,True,False,True
2d9084e5-df8a-4975-9cae-1adfdccfd470,"The tweets criticize Trump's administration for mishandling the pandemic, violating privacy, and spreading misinformation.",0.63857543,0.79577214,0.27853078,0.9112673,True,True,False,True
93329fc8-8268-4a0d-8fb0-49944f2c2ed1,DNI Ratcliffe is dispatched to Fox News to lie about the NY Post's Hunter Biden story.,0.3643199,0.5229522,0.21119839,0.4643624,False,True,False,False
63b83b37-daab-472f-a439-c68d4b97f03d,"Donald Trump's criticism of Dr. Fauci is disputed, with some accusing Trump of misusing and disrespecting the doctor.",0.6463436,0.8443401,0.24142952,0.8987058,True,True,False,True
bdd046c6-623f-43ca-8344-8b023ebbed1c,The authenticity of a laptop repair story involving Hunter Biden is being questioned as a potential scandal.,0.70124424,0.9710117,0.32875738,0.9609047,True,True,False,True
817b6f61-ed29-4997-8b74-7d1fcedfc2c1,The debate commission plans to mute Trump and Biden's microphones during parts of the debate.,0.6896346,0.9080923,0.31227857,0.9354949,True,True,False,True
0cac65d5-6462-45cd-aa01-087f3358fe60,Trump's mention of Exxon was a signal to send him campaign cash from large oil companies.,0.40550923,0.5859298,0.22451568,0.640757,False,True,False,True
4e4497f9-847a-40d7-8e70-26d584dbadca,The core claim is that the authors are voting for Joe Biden and Kamala Harris in the election.,0.35498065,0.532923,0.22071493,0.58859396,False,True,False,True
5c3c814b-b959-4df1-979d-4f9feeb55d03,The FBI has taken possession of Hunter Biden's laptop and agrees it's not part of a Russian disinformation campaign.,0.7111574,0.98311806,0.36932945,0.9867352,True,True,False,True
f177d1fb-0800-43c9-b14f-983d800d2554,Donald Trump allegedly held a secret bank account in China while serving as President.,0.70315987,0.9900002,0.42263278,0.9891657,True,True,False,True
