category,claim_id,claim_text,checkworthiness_prob,checkability_score,verifiability_score,harm_score,is_viral,total_engagement,total_tweets,checkability_reasoning,verifiability_reasoning,harm_reasoning
HIGH_CONFIDENCE_POSITIVE,ef27af8e-baae-4e00-8f4b-338c07bf8cb0,Joe Biden's son admitted that his father took money he received from Ukraine and possibly China.,0.7935707807540893,95.0,85.0,95.0,true,13,7,"The claim makes a factual assertion about an admission and specific actions involving money and countries, which can be verified against evidence.",Public statements and records of Hunter Biden's statements could be checked for this claim.,High potential for societal harm due to political divisiveness and potential for action.
HIGH_CONFIDENCE_POSITIVE,68943397-2e60-458e-9421-87e49ef2568e,President Trump was investigated for 3 years for something that Hillary Clinton did and he was impeached for something Biden did.,0.8237748980522156,95.0,95.0,90.0,true,18,9,The claim makes factual assertions about investigations and impeachments that can be verified against historical records.,"Public records, news reports, and official statements can confirm or refute the investigations and impeachments mentioned.","High potential for social fragmentation and exploitativeness, moderate believability."
HIGH_CONFIDENCE_POSITIVE,81d8f24d-37d4-4f6e-8c98-9af510eabc6f,"In the 2020 election, Biden leads Trump by 11 points: 54% to 43%",0.8154436111450196,95.0,95.0,90.0,true,369,53,"The claim provides specific, verifiable data points about the 2020 election results.",Publicly available election data and polls can confirm or refute this claim.,Lacks elements to spur harmful behavior or deepen divisions
HIGH_CONFIDENCE_POSITIVE,d7debc77-bcbb-41db-aab4-1fbccc6d59a4,"Biden policy is corruption. Biden has been involved in scams for 47 years, taking millions in bribes. Biden is compromised and sold out to China, Ukraine, and Iran for billions in cash.",0.761319065093994,95.0,95.0,95.0,true,448,55,"The claim is primarily opinion-based and uses vague and subjective terms like 'corruption,' 'scams,' 'compromised,' and 'sold out.' It also lacks specific, verifiable details about the alleged actions.","The claim involves subjective interpretations (e.g., 'Biden policy is corruption'), undocumented events (e.g., 'Biden has been involved in scams for 47 years'), and allegations of bribes and compromises that would require access to private or classified information.","Claim is highly polarizing, believable to target audience, and exploits strong emotions."
HIGH_CONFIDENCE_POSITIVE,4c0d9c1c-bd4d-4423-bef8-0a95a040f53b,Dem fundraising in September was $388 million.,0.7565232157707213,95.0,95.0,95.0,true,2,7,"The claim provides a specific amount of money raised in a particular month, which can be verified against fundraising records.",Public records and financial disclosures from the Democratic National Committee (DNC) could confirm or refute this claim.,The claim is a simple factual statement about fundraising.
HIGH_CONFIDENCE_POSITIVE,a5506df4-0adb-4a59-9856-9d24a14cc7a6,Obama raised taxes at the highest level on people who are very wealthy. Trump and Republicans reduced that rate again and also for corporations.,0.8542164087295532,95.0,95.0,85.0,true,44,8,"The claim makes factual assertions about specific tax changes implemented by Obama and Trump, which can be verified against historical records and data.","Public records, legislative documents, and economic reports can confirm or refute changes in tax rates for high-income individuals and corporations during Obama's and Trump's presidencies.",Claim aligns with partisan narratives and could deepen political divisions.
HIGH_CONFIDENCE_POSITIVE,9b0194de-be85-40c2-817f-3d0ba986c98a,90% of Big Tech donations go to Biden. Big Tech has advisors at senior levels of the Biden campaign.,0.853446865081787,95.0,90.0,85.0,true,0,1,The claim that '90% of Big Tech donations go to Biden' can be verified by examining donation records.,"Campaign finance records are public, and the presence of advisors can be verified through campaign disclosures and public statements.","Claim fits polarizing narratives, may spur action, and is believable to target audience."
HIGH_CONFIDENCE_POSITIVE,8b731daf-3c48-403b-90ff-e20f18d80e51,"90% of Fox News viewers consider a statement true, while 97% of CNN viewers consider the same statement false.",0.8519110679626465,95.0,85.0,85.0,true,80,25,"The claim makes a factual assertion about the percentage of viewers from two specific news channels who consider a statement true or false, which can be verified through surveys or polls.","Public opinion polls and surveys can provide data on viewer perceptions of news sources, and the percentages given in the claim could be verified through such data.",Claim could deepen divisions between news audiences.
HIGH_CONFIDENCE_POSITIVE,5e1baa46-4828-4df9-b7fa-d574f79ac802,Trump has 217 indictments. Obama has 0 indictments.,0.8504546165466309,95.0,95.0,85.0,true,171,44,"The claim makes a factual assertion about the number of indictments against two individuals, which can be verified against legal records.","Public records and databases, such as those maintained by the Department of Justice and various courts, could confirm or refute the number of indictments against public figures like Trump and Obama.",Claim has high potential for social fragmentation and exploitativeness.
HIGH_CONFIDENCE_POSITIVE,2786aaa2-bd61-4bd4-b628-498bae79267c,Biden forced Ukraine to fire its chief prosecutor who was investigating a company that employed Biden’s son.,0.8491290092468262,95.0,90.0,85.0,true,101,19,"The claim makes a factual assertion about an action taken by Biden and the response of Ukraine, which can be verified against historical records and statements.","Public records, news reports, and statements from officials can confirm or refute the actions taken by Biden regarding the Ukrainian prosecutor and the investigation.","High potential for social fragmentation and exploitativeness, moderate action potential."
